,County,Township,"Cong.
Dist.",National Forest,Acres,"25% 7 Year
Rolling Average
Payment","Formula /
Transition
Payment","Special Acts
Payment",Total Payment,"Average
Payment Per
Acre"
0,CALIFORNIA (06),,,,,,,,,
1,Alpine (003),,03 (03),"ELDORADO
PNF (0053)","57,507.00",0.00,"62,543.86",0.00,"62,543.86",1.09
2,Alpine (003),,03 (03),"STANISLAUS
PNF (0072)","122,570.00",0.00,"133,305.53",0.00,"133,305.53",1.09
3,Alpine (003),,03 (03),"TOIYABE PNF
(0291)","237,431.00",0.00,"258,226.87",0.00,"258,226.87",1.09
4,Alpine (003) Total,,,,"417,508.00",0.00,"454,076.26",0.00,"454,076.26",1.09
5,Amador (005),,05 (05),"ELDORADO
PNF (0053)","80,875.00",0.00,"324,648.11",0.00,"324,648.11",4.01
6,Amador (005) Total,,,,"80,875.00",0.00,"324,648.11",0.00,"324,648.11",4.01
7,Butte (007),,01 (01),"LASSEN PNF
(0057)","52,710.00",0.00,"150,931.13",0.00,"150,931.13",2.86
8,Butte (007),,01 (01),"MENDOCINO
PNF (0059)",204.00,0.00,584.14,0.00,584.14,2.86
9,Butte (007),,01 (01),"PLUMAS PNF
(0063)","85,731.00",0.00,"245,484.29",0.00,"245,484.29",2.86
10,Butte (007) Total,,,,"138,645.00",0.00,"396,999.56",0.00,"396,999.56",2.86
11,"Calaveras
(009)",,05 (05),"STANISLAUS
PNF (0072)","78,449.00",0.00,"173,714.75",0.00,"173,714.75",2.21
12,Calaveras (009) Total,,,,"78,449.00",0.00,"173,714.75",0.00,"173,714.75",2.21
13,Colusa (011),,01 (01),"MENDOCINO
PNF (0059)","68,088.00",0.00,"128,578.79",0.00,"128,578.79",1.89
14,Colusa (011) Total,,,,"68,088.00",0.00,"128,578.79",0.00,"128,578.79",1.89
15,Del Norte (015),,02 (02),"SISKIYOU PNF
(0429)","31,543.00",0.00,"99,857.99",0.00,"99,857.99",3.17
16,Del Norte (015),,02 (02),"SIX RIVERS
PNF (0055)","407,640.00",0.00,"1,290,495.94",0.00,"1,290,495.94",3.17
17,Del Norte (015) Total,,,,"439,183.00",0.00,"1,390,353.93",0.00,"1,390,353.93",3.17
